2026-01-08 03:20:14.595 INFO  (coreLoadExecutor-13-thread-2) [c: s: r: x:activities t:] o.a.s.u.UpdateHandler Using UpdateLog implementation: org.apache.solr.update.UpdateLog
2026-01-08 03:20:14.595 INFO  (coreLoadExecutor-13-thread-1) [c: s: r: x:mycore t:] o.a.s.u.UpdateHandler Using UpdateLog implementation: org.apache.solr.update.UpdateLog
2026-01-08 03:20:14.598 INFO  (coreLoadExecutor-13-thread-1) [c: s: r: x:mycore t:] o.a.s.u.UpdateLog Initializing UpdateLog: dataDir= defaultSyncLevel=FLUSH numRecordsToKeep=100 maxNumLogsToKeep=10
2026-01-08 03:20:14.598 INFO  (coreLoadExecutor-13-thread-2) [c: s: r: x:activities t:] o.a.s.u.UpdateLog Initializing UpdateLog: dataDir= defaultSyncLevel=FLUSH numRecordsToKeep=100 maxNumLogsToKeep=10
2026-01-08 03:20:14.599 INFO  (coreLoadExecutor-13-thread-1) [c: s: r: x:mycore t:] o.a.s.u.CommitTracker Hard AutoCommit: if uncommitted for 15000ms; 
2026-01-08 03:20:14.599 INFO  (coreLoadExecutor-13-thread-1) [c: s: r: x:mycore t:] o.a.s.u.CommitTracker Soft AutoCommit: if uncommitted for 3000ms; 
2026-01-08 03:20:14.599 INFO  (coreLoadExecutor-13-thread-2) [c: s: r: x:activities t:] o.a.s.u.CommitTracker Hard AutoCommit: if uncommitted for 15000ms; 
2026-01-08 03:20:14.600 INFO  (coreLoadExecutor-13-thread-2) [c: s: r: x:activities t:] o.a.s.u.CommitTracker Soft AutoCommit: if uncommitted for 3000ms; 
2026-01-08 03:20:14.661 INFO  (coreLoadExecutor-13-thread-1) [c: s: r: x:mycore t:] o.a.s.r.ManagedResourceStorage File-based storage initialized to use dir: /var/solr/data/mycore/conf
2026-01-08 03:20:14.673 INFO  (coreLoadExecutor-13-thread-1) [c: s: r: x:mycore t:] o.a.s.s.DirectSolrSpellChecker init: {accuracy=0.5, maxQueryFrequency=0.01, maxEdits=2, minPrefix=1, maxInspections=5, minQueryLength=4, name=default, field=_text_, classname=solr.DirectSolrSpellChecker, distanceMeasure=internal}
2026-01-08 03:20:14.677 INFO  (coreLoadExecutor-13-thread-1) [c: s: r: x:mycore t:] o.a.s.h.ReplicationHandler Commits will be reserved for 10000 ms
2026-01-08 03:20:14.678 INFO  (searcherExecutor-17-thread-1-processing-mycore) [c: s: r: x:mycore t:] o.a.s.c.QuerySenderListener QuerySenderListener done.
2026-01-08 03:20:14.678 INFO  (searcherExecutor-17-thread-1-processing-mycore) [c: s: r: x:mycore t:] o.a.s.h.c.SpellCheckComponent Loading spell index for spellchecker: default
2026-01-08 03:20:14.683 INFO  (searcherExecutor-17-thread-1-processing-mycore) [c: s: r: x:mycore t:] o.a.s.c.SolrCore Registered new searcher autowarm time: 0 ms
2026-01-08 03:20:14.695 INFO  (coreLoadExecutor-13-thread-2) [c: s: r: x:activities t:] o.a.s.r.ManagedResourceStorage File-based storage initialized to use dir: /var/solr/data/activities/conf
2026-01-08 03:20:14.696 INFO  (coreLoadExecutor-13-thread-2) [c: s: r: x:activities t:] o.a.s.s.DirectSolrSpellChecker init: {accuracy=0.5, maxQueryFrequency=0.01, maxEdits=2, minPrefix=1, maxInspections=5, minQueryLength=4, name=default, field=_text_, classname=solr.DirectSolrSpellChecker, distanceMeasure=internal}
2026-01-08 03:20:14.697 INFO  (coreLoadExecutor-13-thread-2) [c: s: r: x:activities t:] o.a.s.h.ReplicationHandler Commits will be reserved for 10000 ms
2026-01-08 03:20:14.697 INFO  (searcherExecutor-16-thread-1-processing-activities) [c: s: r: x:activities t:] o.a.s.c.QuerySenderListener QuerySenderListener done.
2026-01-08 03:20:14.698 INFO  (searcherExecutor-16-thread-1-processing-activities) [c: s: r: x:activities t:] o.a.s.h.c.SpellCheckComponent Loading spell index for spellchecker: default
2026-01-08 03:20:14.701 INFO  (searcherExecutor-16-thread-1-processing-activities) [c: s: r: x:activities t:] o.a.s.c.SolrCore Registered new searcher autowarm time: 0 ms
2026-01-08 03:20:24.676 INFO  (qtp369347944-25-null-1) [c: s: r: x:activities t:null-1] o.a.s.c.S.Request webapp=/solr path=/select params={q=average_heartrate_i:[*+TO+155]&rows=100&wt=json} hits=6 status=0 QTime=45
2026-01-08 03:20:24.725 INFO  (qtp369347944-19-null-2) [c: s: r: x:activities t:null-2] o.a.s.c.S.Request webapp=/solr path=/select params={q=average_heartrate_i:[*+TO+155]&rows=100&wt=json} hits=6 status=0 QTime=2
